County_State	County_Name	Non-Commercial -Civil Public Use Airports and Seaplane base	Non-Commercial -Other Aerodromes	Number of Bridges	Number of business establishments	Number of resident workers who commute to work in other countie	Number of resident workers who commute within county	Number of resident workers who work at home	Number of resident workers	Number of residents	Number of workers from other counties who commute to work in th	Pct of Medium to Fair Condition Bridges	Pct of Poor Condition Bridges	Percent of resident workers who commute by transit	Primary and Commercial Airports	Route miles of freight railroad	Route miles of passenger railroad and rail transit	State_Name	Total Docks	Total Marinas
Bladen County, North Carolina	Bladen County	1	9	124	514	4644	7750	260	12505	34455	4736	0.927419355	0.072580645	0.003998401	0	36.9	0	North Carolina		
Brunswick County, North Carolina	Brunswick County	3	5	156	2531	13176	28975	2420	45375	119165	16393	0.884615385	0.115384615	0.003173554	0	63	0	North Carolina	4	0
Buncombe County, North Carolina	Buncombe County	0	3	541	8544	10366	105410	8655	117000	250110	11542	0.918669131	0.081330869	0.007008547	1	72.6	0	North Carolina		
Burke County, North Carolina	Burke County	1	4	227	1438	11088	24585	905	35925	89080	11342	0.876651982	0.123348018	0.001948504	0	31.9	0	North Carolina		
Cabarrus County, North Carolina	Cabarrus County	1	13	227	4404	44368	45170	3990	90790	192295	45608	0.863436123	0.136563877	0.004460844	0	29.6	17.3	North Carolina		
Caldwell County, North Carolina	Caldwell County	1	2	197	1337	12449	20450	1285	33235	81625	12796	0.862944162	0.137055838	0.00120355	0	17.3	0	North Carolina		
Camden County, North Carolina	Camden County	0	1	24	117	2020	740	85	4460	10230	3714	0.958333333	0.041666667	0.003139013	0	5	0	North Carolina		
Carteret County, North Carolina	Carteret County	1	9	56	2025	6968	22655	1425	30150	68535	7379	0.910714286	0.089285714	0.004278607	0	21.1	0	North Carolina	3	0
Caswell County, North Carolina	Caswell County	0	4	90	247	5103	2195	215	8950	23095	6752	0.922222222	0.077777778	0.001675978	0	7.7	6.6	North Carolina		
Catawba County, North Carolina	Catawba County	0	9	222	4172	15431	53185	2365	69475	155460	16174	0.945945946	0.054054054	0.00086362	0	42.5	0	North Carolina		
Chatham County, North Carolina	Chatham County	1	5	234	1456	16889	11520	2260	28975	68780	17428	0.944444444	0.055555556	0.00811044	0	48.5	7.9	North Carolina		
Cherokee County, North Carolina	Cherokee County	1	2	156	585	775	7240	565	9365	27225	2114	0.935897436	0.064102564	0.00373732	0	25.1	9.6	North Carolina		
Chowan County, North Carolina	Chowan County	1	2	38	346	2140	2935	230	5400	14555	2468	0.947368421	0.052631579	0	0	3.3	0	North Carolina		
Clay County, North Carolina	Clay County	0	1	60	214	1115	1895	160	4065	10730	2174	0.916666667	0.083333333	0	0			North Carolina		
Cleveland County, North Carolina	Cleveland County	1	1	251	1934	10708	26485	955	39450	97115	12961	0.880478088	0.119521912	0.002154626	0	43.8	10	North Carolina		
Columbus County, North Carolina	Columbus County	1	3	220	992	4656	13515	220	20125	57015	6584	0.922727273	0.077272727	0.001490683	0	40.5	0	North Carolina		
Craven County, North Carolina	Craven County	0	6	148	2163	7880	37925	1325	46375	104190	8440	0.959459459	0.040540541	0.002479784	1	82.5	0	North Carolina		
Cumberland County, North Carolina	Cumberland County	0	12	301	5678	11914	129555	4165	143280	325840	13345	0.950166113	0.049833887	0.006420994	1	96.9	32.9	North Carolina		
Currituck County, North Carolina	Currituck County	1	4	21	665	2563	4090	385	11985	24865	7892	0.904761905	0.095238095	0.002419691	0	14.5	0	North Carolina		
Dare County, North Carolina	Dare County	3	3	39	1926	1194	16435	1075	18055	35185	1622	0.820512821	0.179487179	0	0			North Carolina	0	0
Davidson County, North Carolina	Davidson County	1	3	336	2797	36399	32595	2145	69950	164060	37315	0.913690476	0.086309524	0.003502502	0	91.1	24.8	North Carolina		
Davie County, North Carolina	Davie County	0	8	94	827	10753	7150	605	18350	41570	11167	0.957446809	0.042553191	0.003760218	0	17.7	0	North Carolina		
Duplin County, North Carolina	Duplin County	1	2	210	850	9927	14045	715	24060	59120	10004	0.852380952	0.147619048	0.000166251	0	36.4	0	North Carolina		
Durham County, North Carolina	Durham County	0	3	298	7556	44716	100025	7090	146585	294620	46430	0.922818792	0.077181208	0.041307091	0	38.8	16.2	North Carolina		
Edgecombe County, North Carolina	Edgecombe County	1	3	148	712	9604	11095	415	20840	54670	9753	0.912162162	0.087837838	0.006477927	0	31.4	8.2	North Carolina		
Forsyth County, North Carolina	Forsyth County	1	3	412	8604	31482	128605	7765	161825	364690	33091	0.832524272	0.167475728	0.010622586	0	73.1	0	North Carolina		
Franklin County, North Carolina	Franklin County	1	6	117	1061	16560	9770	1250	26685	62990	16908	0.854700855	0.145299145	0.001686341	0	12.8	0	North Carolina		
Gaston County, North Carolina	Gaston County	1	2	228	4183	34952	52770	2870	91610	211755	38831	0.925438596	0.074561404	0.002947276	0	75.7	21.5	North Carolina		
Gates County, North Carolina	Gates County	0	2	41	125	1052	1440	50	4990	11615	3551	0.926829268	0.073170732	0	0			North Carolina		
Graham County, North Carolina	Graham County			90	167	705	2065	115	2960	8650	888	0.977777778	0.022222222	0.001351351				North Carolina		
Granville County, North Carolina	Granville County	1	0	149	892	13334	10225	770	23935	58340	13703	0.879194631	0.120805369	0.000417798	0	23.1	0	North Carolina		
Greene County, North Carolina	Greene County	0	1	62	259	5159	2820	125	7985	21240	5169	0.919354839	0.080645161	0.001878522	0	8.5	0	North Carolina		
Guilford County, North Carolina	Guilford County	0	9	664	13562	35245	197950	12315	236025	511815	37962	0.899096386	0.100903614	0.011651308	1	81.7	47.8	North Carolina		
Halifax County, North Carolina	Halifax County	1	9	157	942	5876	12110	310	19090	52850	6980	0.942675159	0.057324841	0.001257203	0	29.6	21.6	North Carolina		
Harnett County, North Carolina	Harnett County	1	7	135	1692	32172	18610	1565	51265	126620	32575	0.903703704	0.096296296	0.001638545	0	35.8	9.4	North Carolina		
Haywood County, North Carolina	Haywood County			279	1382	7140	16900	895	24550	59575	7660	0.860215054	0.139784946	0.00509165		21.4	0	North Carolina		
Henderson County, North Carolina	Henderson County	0	5	248	2741	14299	30830	2905	46670	110905	15837	0.923387097	0.076612903	0.002249839	0	24.9	0	North Carolina		
Hertford County, North Carolina	Hertford County	1	2	55	487	1741	6090	115	8725	24285	2669	0.909090909	0.090909091	0.006303725	0	19.2	0	North Carolina		
Hoke County, North Carolina	Hoke County	0	4	131	463	13994	5775	490	20225	51855	14194	0.603053435	0.396946565	0.007911001	0	37.7	0	North Carolina		
Hyde County, North Carolina	Hyde County	2	3	75	164	500	1580	160	2080	5630	500	0.893333333	0.106666667	0.007211538	0			North Carolina		
Iredell County, North Carolina	Iredell County	1	10	326	4781	23561	51960	3655	76675	167495	24700	0.865030675	0.134969325	0.003782198	0	42.8	0	North Carolina		
Jackson County, North Carolina	Jackson County	1	2	218	967	3718	13240	635	17220	41225	3981	0.871559633	0.128440367	0.004065041	0	23	9.7	North Carolina		
Johnston County, North Carolina	Johnston County	1	6	312	3410	41763	39230	4395	81510	182155	42215	0.881410256	0.118589744	0.00164397	0	61.4	50.3	North Carolina		
Jones County, North Carolina	Jones County	0	4	59	138	2693	1130	195	3815	10075	2693	0.949152542	0.050847458	0.001048493	0	4.1	0	North Carolina		
Lee County, North Carolina	Lee County	1	2	95	1347	7377	17895	775	25485	59540	7587	0.957894737	0.042105263	0.002354326	0	47.2	22.5	North Carolina		
Lenoir County, North Carolina	Lenoir County	1	3	131	1202	6032	17550	300	23820	58345	6261	0.93129771	0.06870229	0.005037783	0	25.6	0	North Carolina		
Lincoln County, North Carolina	Lincoln County	1	3	154	1716	19648	15770	1485	36070	79785	20268	0.928571429	0.071428571	0.001912947	0	29.8	0	North Carolina		
Macon County, North Carolina	Macon County	1	2	212	1107	1505	11075	425	13500	33990	2431	0.830188679	0.169811321	0.004814815	0	1.5	1.5	North Carolina		
Madison County, North Carolina	Madison County	0	1	239	334	4530	4345	690	9045	21130	4687	0.815899582	0.184100418	0.001105583	0	28.3	0	North Carolina		
Martin County, North Carolina	Martin County	1	0	124	430	3616	5415	210	9065	23510	3651	0.967741935	0.032258065	0.000441258	0	36.1	0	North Carolina		
McDowell County, North Carolina	McDowell County	0	3	227	740	4635	12325	555	17200	45015	4874	0.933920705	0.066079295	0	0	78.3	0	North Carolina		
Mecklenburg County, North Carolina	Mecklenburg County	0	11	657	32102	42976	441455	32425	508465	1011775	66776	0.97260274	0.02739726	0.031929435	1	124.4	21.5	North Carolina		
Mitchell County, North Carolina	Mitchell County			125	378	1716	3980	125	5925	15265	1931	0.832	0.168	0.000675105		39.4	0	North Carolina		
Montgomery County, North Carolina	Montgomery County	1	2	142	503	3453	7035	225	10570	27475	3548	0.915492958	0.084507042	0.003311258	0	42.1	0	North Carolina		
Moore County, North Carolina	Moore County	1	4	174	2255	9529	28445	1975	38340	93070	9883	0.925287356	0.074712644	0.00010433	0	76.6	24.6	North Carolina		
Nash County, North Carolina	Nash County	1	3	264	2033	13324	26840	950	40445	94385	13581	0.931818182	0.068181818	0.003214242	0	41.8	13.1	North Carolina		
New Hanover County, North Carolina	New Hanover County	0	5	104	7545	9345	93600	7335	104265	216430	10619	0.942307692	0.057692308	0.008871625	1	32.1	0	North Carolina	11	0
Northampton County, North Carolina	Northampton County	0	2	83	251	3142	2720	180	6835	20630	4098	0.915662651	0.084337349	0.001463058	0	51.7	8.9	North Carolina		
Onslow County, North Carolina	Onslow County	0	7	166	2802	6773	81425	4595	90035	185755	8413	0.927710843	0.072289157	0.001654912	1	13.1	0	North Carolina	0	0
Orange County, North Carolina	Orange County	0	3	182	3289	28342	40655	5750	69700	139805	28964	0.912087912	0.087912088	0.074375897	0	28.3	17.1	North Carolina		
Pamlico County, North Carolina	Pamlico County	0	1	45	241	2161	2580	325	4765	12890	2195	0.911111111	0.088888889	0.003147954	0			North Carolina	0	0
Pasquotank County, North Carolina	Pasquotank County	1	4	55	914	2194	11935	465	16735	39910	4811	0.890909091	0.109090909	0.004481625	0	13	0	North Carolina	0	0
Pender County, North Carolina	Pender County	1	3	113	1094	14523	8585	1205	23315	56360	14692	0.982300885	0.017699115	0.002144542	0			North Carolina		
Perquimans County, North Carolina	Perquimans County	0	4	42	209	2664	1940	365	5315	13470	3352	0.904761905	0.095238095	0	0	15.8	0	North Carolina		
Person County, North Carolina	Person County	1	3	103	700	7026	8720	320	16185	39195	7470	0.912621359	0.087378641	0.002162496	0	27.6	0	North Carolina		
Pitt County, North Carolina	Pitt County	0	6	204	3584	12378	67650	2620	80775	175150	13078	0.921568627	0.078431373	0.011265862	1	67.2	0	North Carolina		
Polk County, North Carolina	Polk County	0	2	120	476	2402	4000	445	8325	20325	4328	0.916666667	0.083333333	0.006606607	0			North Carolina		
Randolph County, North Carolina	Randolph County	1	9	372	2523	26109	36005	1390	62645	142590	26639	0.954301075	0.045698925	0.004070556	0	40.3	0.6	North Carolina		
Richmond County, North Carolina	Richmond County	1	3	148	805	3955	12380	275	17030	45710	4663	0.959459459	0.040540541	0.00023488	0	53.5	25.5	North Carolina		
Robeson County, North Carolina	Robeson County	1	8	270	1815	11368	34445	560	47525	134575	13052	0.911111111	0.088888889	0.001241452	0	135.5	71	North Carolina		
Rockingham County, North Carolina	Rockingham County	1	6	227	1652	13643	21895	1200	37355	91900	15457	0.806167401	0.193832599	0.002409316	0	51	22.6	North Carolina		
Rowan County, North Carolina	Rowan County	1	16	244	2630	20166	35975	1925	56970	138695	20990	0.881147541	0.118852459	0.003422854	0	81.3	26.8	North Carolina		
Rutherford County, North Carolina	Rutherford County	1	6	292	1260	5598	16770	705	25030	66700	8256	0.873287671	0.126712329	0.001997603	0	51	0	North Carolina		
Sampson County, North Carolina	Sampson County	1	6	194	974	9310	16535	725	26235	63715	9718	0.840206186	0.159793814	0.002668191	0	9.9	0	North Carolina		
Scotland County, North Carolina	Scotland County	1	1	98	593	3108	7420	310	11105	35710	3700	0.948979592	0.051020408	0.001800991	0	44.2	0	North Carolina		
Stanly County, North Carolina	Stanly County	1	3	161	1334	8765	17195	770	26205	60610	9013	0.925465839	0.074534161	0.001526426	0	55.8	0	North Carolina		
Stokes County, North Carolina	Stokes County	0	4	150	647	12804	6735	975	19885	46455	13152	0.826666667	0.173333333	0	0	26.8	0	North Carolina		
Surry County, North Carolina	Surry County	2	2	301	1650	7779	20555	810	29195	72765	8630	0.877076412	0.122923588	0.005994177	0	52.1	0	North Carolina		
Swain County, North Carolina	Swain County	0	2	130	364	1600	3620	85	5360	14235	1734	0.915384615	0.084615385	0	0	29.9	29.9	North Carolina		
Transylvania County, North Carolina	Transylvania County	0	3	153	832	3453	9290	930	13090	33060	3805	0.869281046	0.130718954	0.004201681	0	7.3	0	North Carolina		
Tyrrell County, North Carolina	Tyrrell County			27	76	588	790	25	1390	4130	598	0.888888889	0.111111111	0				North Carolina		
Union County, North Carolina	Union County	1	14	298	4747	46022	50780	7240	101445	217615	50561	0.929530201	0.070469799	0.00468234	0	39.6	0	North Carolina		
Vance County, North Carolina	Vance County	0	2	73	859	5794	10525	305	16665	44510	6137	0.904109589	0.095890411	0.000480048	0	21	0	North Carolina		
Wake County, North Carolina	Wake County	0	17	717	29406	85265	419410	39005	510505	998575	90656	0.938633194	0.061366806	0.01141027	1	141.3	53.9	North Carolina		
Warren County, North Carolina	Warren County	0	1	87	261	3362	2905	195	6845	20325	3936	0.91954023	0.08045977	0.00146092	0	5.8	0	North Carolina		
Washington County, North Carolina	Washington County	1	2	59	221	1773	2605	100	4400	12505	1801	0.949152542	0.050847458	0	0	16.9	0	North Carolina		
Watauga County, North Carolina	Watauga County	0	3	192	1624	2538	20090	1605	22860	52745	2749	0.885416667	0.114583333	0.025809274	0			North Carolina		
Wayne County, North Carolina	Wayne County	2	5	197	2175	11410	40005	1195	51725	124445	11677	0.944162437	0.055837563	0.004543258	0	58.2	0	North Carolina		
Wilkes County, North Carolina	Wilkes County	1	2	338	1186	6512	20590	610	27310	68890	6722	0.846153846	0.153846154	0.001464665	0	17.6	0	North Carolina		
Wilson County, North Carolina	Wilson County	1	1	193	1750	8401	25840	635	34320	81615	8494	0.932642487	0.067357513	0.001719114	0	59.8	30.6	North Carolina		
Yadkin County, North Carolina	Yadkin County	0	7	166	613	8337	6695	580	15200	37820	8489	0.843373494	0.156626506	0	0			North Carolina		
Yancey County, North Carolina	Yancey County	0	2	147	330	2608	3755	370	6625	17600	2880	0.836734694	0.163265306	0	0	5.4	0	North Carolina		
Adams County, North Dakota	Adams County	1	1	46	101	163	950	100	1235	2350	277	0.826086957	0.173913043	0.008097166	0	46.9	0	North Dakota		
Barnes County, North Dakota	Barnes County	1	4	76	359	874	4765	230	5705	11035	948	0.973684211	0.026315789	0.007011394	0	99.7	0	North Dakota		
Benson County, North Dakota	Benson County	2	5	40	83	632	1740	250	2385	6800	644	0.85	0.15	0.006289308	0	58.3	31.3	North Dakota		
Billings County, North Dakota	Billings County	0	1	58	58	213	300	70	510	935	217	0.982758621	0.017241379	0.023529412	0	22.2	0	North Dakota		
Bottineau County, North Dakota	Bottineau County	2	6	139	243	713	2530	285	3280	6650	747	0.848920863	0.151079137	0	0	67.7	0	North Dakota		
Bowman County, North Dakota	Bowman County	1	1	68	160	148	1465	85	1670	3240	204	1	0	0	0	48.5	0	North Dakota		
Burke County, North Dakota	Burke County	2	1	29	75	390	715	90	1100	2240	398	0.827586207	0.172413793	0.003636364	0	95.7	0	North Dakota		
Burleigh County, North Dakota	Burleigh County	0	10	116	3013	6672	42810	1965	49725	90560	6914	0.956896552	0.043103448	0.003016591	1	84	0	North Dakota		
Cass County, North Dakota	Cass County	4	25	371	5575	2400	85695	2985	95470	166850	9767	0.940700809	0.059299191	0.008264376	1	235.1	27.8	North Dakota		
Cavalier County, North Dakota	Cavalier County	1	2	68	148	275	1620	175	1905	3865	287	0.764705882	0.235294118	0.002099738	0	75.1	0	North Dakota		
Dickey County, North Dakota	Dickey County	2	1	39	213	278	2310	200	2735	5160	420	1	0	0.001462523	0	61.6	0	North Dakota		
Divide County, North Dakota	Divide County	1	2	13	99	125	1100	200	1240	2370	133	0.769230769	0.230769231	0	0	55.6	0	North Dakota		
Dunn County, North Dakota	Dunn County	1	7	75	165	602	1395	265	2025	4285	632	0.973333333	0.026666667	0.007407407	0			North Dakota		
Eddy County, North Dakota	Eddy County	1	1	27	78	401	790	95	1190	2370	409	0.962962963	0.037037037	0	0	41	0	North Dakota		
Emmons County, North Dakota	Emmons County	2	8	69	129	196	1230	255	1455	3425	236	0.985507246	0.014492754	0.002749141	0	16.7	0	North Dakota		
Foster County, North Dakota	Foster County	1	1	19	141	260	1465	90	1730	3345	264	0.947368421	0.052631579	0	0	67	0	North Dakota		
Golden Valley County, North Dakota	Golden Valley County	1	1	35	68	63	880	105	1005	1895	122	0.885714286	0.114285714	0	0	22.9	0	North Dakota		
Grand Forks County, North Dakota	Grand Forks County	3	10	354	1887	1458	34640	1540	38665	69795	4028	0.875706215	0.124293785	0.00918143	1	114.2	55.6	North Dakota		
Grant County, North Dakota	Grant County	1	0	62	74	223	935	295	1165	2370	239	0.903225806	0.096774194	0	0			North Dakota		
Griggs County, North Dakota	Griggs County	1	0	22	86	225	980	95	1195	2310	225	0.954545455	0.045454545	0.00334728	0	31.6	0	North Dakota		
Hettinger County, North Dakota	Hettinger County	1	0	69	98	348	825	105	1180	2640	360	0.797101449	0.202898551	0.021186441	0			North Dakota		
Kidder County, North Dakota	Kidder County	0	4	10	71	402	935	190	1335	2420	406	1	0	0.002996255	0	30.3	0	North Dakota		
LaMoure County, North Dakota	LaMoure County	2	2	60	157	432	1560	250	1995	4110	444	0.9	0.1	0	0	74.4	0	North Dakota		
Logan County, North Dakota	Logan County	2	1	13	66	241	740	105	980	1940	245	0.923076923	0.076923077	0	0	44.1	0	North Dakota		
McHenry County, North Dakota	McHenry County	1	5	114	125	1428	1515	220	2930	5910	1444	0.771929825	0.228070175	0	0	135.8	37.1	North Dakota		
McIntosh County, North Dakota	McIntosh County	2	0	11	112	95	1260	110	1365	2735	109	0.909090909	0.090909091	0.002930403	0	12.2	0	North Dakota		
McKenzie County, North Dakota	McKenzie County	1	3	117	495	669	4270	410	5195	10720	929	0.957264957	0.042735043	0.007699711	0	8.6	0	North Dakota		
McLean County, North Dakota	McLean County	4	11	58	264	1339	3175	500	4535	9575	1363	0.965517241	0.034482759	0.004410143	0	107.9	0	North Dakota		
Mercer County, North Dakota	Mercer County	2	2	72	250	467	3805	180	4285	8670	479	1	0	0.003267211	0	54.1	0	North Dakota		
Morton County, North Dakota	Morton County	2	3	286	869	9099	7595	780	16715	29635	9117	0.923076923	0.076923077	0.000239306	0	78.9	0	North Dakota		
Mountrail County, North Dakota	Mountrail County	4	0	29	403	641	4055	385	4710	9675	649	0.931034483	0.068965517	0.000849257	0	110.5	47.2	North Dakota		
Nelson County, North Dakota	Nelson County	2	2	23	130	457	1050	120	1505	3030	465	0.869565217	0.130434783	0	0	75.1	25.8	North Dakota		
Oliver County, North Dakota	Oliver County			24	44	381	505	170	885	1770	385	1	0	0		31.7	0	North Dakota		
Pembina County, North Dakota	Pembina County	5	4	208	264	459	3015	185	3520	7135	516	0.875	0.125	0	0	65.6	0	North Dakota		
Pierce County, North Dakota	Pierce County	1	2	6	168	442	1580	110	2045	4375	461	0.833333333	0.166666667	0	0	65.1	18.2	North Dakota		
Ramsey County, North Dakota	Ramsey County	0	1	58	446	826	5350	305	6220	11580	869	0.793103448	0.206896552	0.008038585	1	72.8	40.4	North Dakota		
Ransom County, North Dakota	Ransom County	2	1	35	207	761	2060	275	2825	5455	765	0.914285714	0.085714286	0	0	65.4	0	North Dakota		
Renville County, North Dakota	Renville County	1	2	24	112	539	740	120	1280	2575	539	0.916666667	0.083333333	0.0078125	0	38.8	0	North Dakota		
